ID,Ring,Early Trophozoite,Late Trophozoite,Schizont,Gametocyte II,Gametocyte V,Ookinete
PF3D7_0113600,5.5115,0.6419,0.8689,0.0517,0.5806,1.6377,20.1916
PF3D7_0113700,75.4633,33.7101,14.9062,0.7293,3.2745,6.735,130.7709
PF3D7_0113800,101.8693,6.6873,2.0234,0.135,0.4801,0.7908,8.842
PF3D7_0113900,72.159,22.0974,6.7451,1.2045,16.9763,101.3068,43.9618
PF3D7_0114000,6.7738,3.5023,5.827,2.2752,20.8072,25.5363,78.6853
PF3D7_0114100,0,0.4596,1.3118,0,0,0.1404,18.2495
PF3D7_0114200,1.8997,0.3797,0.0788,0.2815,0.1053,0.3714,0
PF3D7_0114300,2.5009,1.9822,0.6857,0,0.6873,4.5439,4.3722
PF3D7_0114400,2.3449,0.5745,0.1192,0.2129,0.239,0.2107,0
PF3D7_0114500,0.9404,8.3338,0.9884,0,2.6419,18.6304,0
PF3D7_0114600,3.5574,0.6755,0.1752,0.313,0.1171,0.4129,0
PF3D7_0114700,5.0475,1.4683,0.7619,0,0.1131,0,0
PF3D7_0114800,3.9578,5.0104,0.13,0,0.3474,0.4594,0
PF3D7_0114900,3.2826,0.374,0.1293,0,0.8645,10.0594,0
PF3D7_0115000,0.4877,0.0274,0,0.1017,0.019,0.1342,0
PF3D7_0115100,0.1183,0,0.0933,0,0,1.3188,0
PF3D7_0115200,4.0548,16.0444,0.3716,0.2655,0.596,0.1751,0
PF3D7_0115300,3.4073,2.1959,0.5697,0.8721,0.2175,0.0958,0
PF3D7_0115400,4.0326,2.2754,0.9082,0,0,0.4279,0
PF3D7_0115500,1.5268,0,0,0,0,1.4924,0
PF3D7_0115600,11.1713,4.5209,4.6198,0,2.3151,0.9353,0
PF3D7_0115700,16.7507,6.6195,1.0827,0.9779,0.8149,0.733,0.4232
PF3D7_0200100,28.1904,3.3655,1.2978,1.6023,1.1134,0.6794,0
PF3D7_0200200,4.8818,8.2841,1.0644,2.9244,8.535,1.2539,0
PF3D7_0200300,0.4734,0.1797,0,0,0,0.1465,0
PF3D7_0200400,0.3422,0.5199,0,0,0.1201,0,0
PF3D7_0200500,0,0.9261,0,0.264,0.0988,0,0
PF3D7_0200600,0.5552,6.0452,0.2918,1.5633,0.3899,0.0859,0
PF3D7_0200700,0.7358,0.6387,0,0.2959,0.1107,0,0
PF3D7_0200800,0,0.0742,0,0,0,0,0
PF3D7_0200900,0.8173,1.5964,0,0.3287,0.123,0,0
PF3D7_0201000,0.5558,1.2666,0,0,0,0.1032,0
PF3D7_0201100,0,0,0,0,0,0,0
PF3D7_0201200,0.5848,0.074,0,0,0.1026,0.4525,0
PF3D7_0201300,0.4548,2.5048,0,0,0.1197,0.1055,0
PF3D7_0201400,0.8865,0,0,0,0,0.4116,0
PF3D7_0201500,1.3645,0.1036,4.8406,0,8.4813,12.2913,10.9735
PF3D7_0201600,17.8276,0.2719,1.3545,0,2.0364,0.6648,7.677
PF3D7_0201700,15.8725,0.2053,0.1217,0,0.2034,0.5379,6.2114
PF3D7_0201800,19.8716,0.4384,0.975,0,1.3898,0.6891,4.4206
PF3D7_0201900,9.6038,0.3788,1.4602,0,6.9951,2.1435,14.3236
PF3D7_0202000,4190.932,77.8383,38.193,10.4701,229.6229,29.1056,472.7861
PF3D7_0202100,23.7715,27.7387,21.4553,5.4966,0.7258,2.3461,32.3232
PF3D7_0202200,103.6707,9.7183,7.0696,0.3366,0.8817,1.6655,9.616
PF3D7_0202300,5.8426,7.791,0.4094,0.3655,0.4103,0.4822,0
PF3D7_0202400,32.7835,119.8337,31.408,9.6902,7.8352,4.0085,36.3563
PF3D7_0202500,7104.5732,1001.1416,1459.7016,464.2145,307.3008,23.8567,627.6487
PF3D7_0202600.1,11.2788,11.4229,12.5705,2.9931,2.1032,25.6908,36.1425
PF3D7_0202600.2,11.2873,11.4314,12.5798,2.9953,2.1048,25.71,36.1695
PF3D7_0202700,2.8404,2.3537,13.6388,6.3617,5.4407,31.2331,4.3263
PF3D7_0202800,5.4638,0.2184,14.0551,5.6677,15.7533,151.9477,0
PF3D7_0202900,3.1413,0.367,17.9058,4.082,23.0378,112.0831,14.5743
PF3D7_0203000,4.7449,1.2681,21.9303,17.5159,4.5728,14.0019,49.9354
PF3D7_0203100,5.6687,1.7648,5.7707,10.4433,2.9343,28.5169,43.1483
PF3D7_0203200,10.0004,5.619,5.5616,2.5071,3.4636,52.4756,25.7058
PF3D7_0203300,4.1526,2.1753,11.6268,4.4348,23.0802,297.7248,67.1737
PF3D7_0203400,5.295,2.2982,237.9279,57.5043,1059.4623,345.6006,70.9705
PF3D7_0203500,5.7993,4.405,2.2858,12.2462,12.2189,0,0
PF3D7_0203600,4.2674,1.0389,10.006,3.6969,2.536,11.1771,2.1998
PF3D7_0203700,151.3628,220.9936,49.6238,4.4531,26.1596,22.2513,60.4171
PF3D7_0203800,3.0758,0.9248,14.3971,1.9846,17.417,329.4302,1056.436
PF3D7_0203900,3.1304,10.0599,35.3081,11.6954,2.7904,9.0563,16.1376
PF3D7_0204000,2.4854,2.0866,7.8028,1.3504,1.6996,14.4149,12.8575
PF3D7_0204100,4.8496,3.6606,70.7978,190.3508,10.1381,37.6601,52.2034
PF3D7_0204200,78.7621,103.2405,106.0571,36.0757,138.1579,647.2949,385.5615
PF3D7_0204300,28.0065,14.0304,9.2483,1.6867,0.9992,5.6558,62.8974
PF3D7_0204400,29.641,11.0126,12.4452,1.8142,0.3394,1.7951,17.2732
PF3D7_0204500,27.3397,12.6943,16.8905,4.1022,1.1737,0.5571,12.6358
PF3D7_0204600,6.7602,9.0249,7.5669,3.8726,1.3565,8.0712,7.0603
PF3D7_0204700,58.7054,126.7086,147.9063,105.5363,103.2198,35.5754,71.111
PF3D7_0204800,2.6702,3.1691,12.235,2.8192,23.9104,123.5924,8.9472
PF3D7_0204900,4.3127,5.5094,34.4617,8.5551,37.9992,64.7155,5.2549
PF3D7_0205000,3.7598,0.2596,2.8023,0.1924,9.4342,88.3032,37.5667
PF3D7_0205100,2.76,0.5241,1.2432,0.2775,3.8422,38.0332,25.763
PF3D7_0205200,2.6494,0.2683,2.6455,0,4.4658,33.9524,21.3066
PF3D7_0205300,1.9738,0.771,1.3781,0.3175,5.2282,18.0152,11.3381
PF3D7_0205400,33.9603,12.4072,15.9311,2.3529,17.8481,46.4224,14.256
PF3D7_0205500,50.7551,22.0584,51.7669,6.6295,100.3239,176.3811,24.5462
PF3D7_0205600,8.6443,14.7943,42.9999,15.7122,13.0258,11.6852,35.1983
PF3D7_0205700.1,32.4312,21.1699,19.1745,5.707,45.91,318.7306,38.4874
PF3D7_0205700.2,29.9589,19.556,17.8358,5.2719,42.7389,297.4756,35.5534
PF3D7_0205800,27.6067,14.1981,65.5153,42.9126,107.8498,371.9915,77.0872
PF3D7_0205900,58.0773,101.9221,347.2896,394.718,101.4033,58.309,147.5818
PF3D7_0206000,12.5238,11.7952,12.2595,8.0727,2.0539,10.7778,150.3353
PF3D7_0206100,20.7384,26.1131,29.0761,9.4051,20.5278,31.149,89.5445
PF3D7_0206200,8.6067,2.5216,34.7967,35.8301,4.7925,27.9164,147.494
PF3D7_0206300,14.851,14.4173,9.2567,1.1819,3.6573,11.8734,12.3171
PF3D7_0206500,33.3189,35.314,26.0368,7.0904,3.4182,25.9262,43.8142
PF3D7_0206600,34.4708,16.7968,8.2034,0,9.5924,22.6487,0
PF3D7_0206700,63.9893,56.0524,58.1731,32.38,15.7655,11.4325,12.8451
PF3D7_0206800,218.718,242.4233,8933.0309,61741.0388,159.5176,39.1771,413.4192
PF3D7_0206900.1,3.3139,7.9387,39.2866,26.1971,4.0282,2.3671,66.6254
PF3D7_0206900.2,3.1874,8.1712,40.4125,26.5492,4.1973,2.4665,69.4226
PF3D7_0207000,19.2461,11.4241,869.3292,2589.2155,246.7958,89.3617,263.0849
PF3D7_0207100,3.8263,3.3756,26.0949,21.4345,7.789,21.634,273.5228
PF3D7_0207200,2.3773,0.4924,4.0889,3.0425,8.6519,60.8112,28.9675
PF3D7_0207300,2.712,0.4275,1.2504,1.2966,0.7007,1.5205,8.2301
PF3D7_0207400,4.0785,1.1722,205.0754,86.9008,6.232,0.8188,26.5938
PF3D7_0207500,6.8445,1.3317,382.19,224.6102,7.4592,1.0645,30.7303
PF3D7_0207600,43.1987,11.07,4782.1056,10576.6715,202.8614,13.0479,407.0291
PF3D7_0207700,6.9375,1.729,597.1144,1242.8903,32.9645,1.7112,10.6545
PF3D7_0207800,4.4849,0.9084,90.3638,115.6491,3.3861,0.4511,21.5405
PF3D7_0207900,4.027,0.8125,109.5227,34.2807,5.3692,0.7596,1.265
PF3D7_0208000,3.8118,0.3453,30.9314,24.2218,4.5682,7.0469,29.0607
PF3D7_0208100.1,2.9353,2.7759,48.1485,30.5952,12.6763,25.8137,44.8139
PF3D7_0208100.2,2.9353,2.7759,48.1485,30.5952,12.6763,25.8137,44.8139
PF3D7_0208200,48.7838,30.206,27.7036,1.9528,6.0891,32.849,21.6919
PF3D7_0208300,9.4371,6.3913,6.3745,1.4127,6.4042,19.6776,3.6213
PF3D7_0208400,12.6137,13.0508,24.0748,13.5921,7.7834,42.933,31.0763
PF3D7_0208500,3.53,2.1067,21.6659,9.229,24.4378,111.688,37.175
PF3D7_0208600,5.5785,18.4323,72.8909,18.6516,4.3341,17.2245,92.5278
PF3D7_0208700.1,105.7329,56.3081,65.1966,17.0383,458.1219,597.5425,42.8076
PF3D7_0208700.2,102.9838,54.0458,61.7489,15.8158,429.3617,561.4797,39.7362
PF3D7_0208800,10.9106,11.0873,23.246,6.642,162.7812,613.5221,5.9285
PF3D7_0208900,3.3977,0.7689,1.0495,0.039,0.935,3.3999,4.2752
PF3D7_0209000,3.251,1.3316,0.6647,0.4373,11.2331,74.6602,174.4455
PF3D7_0209100,34.5401,13.1374,51.2301,29.247,7.7087,10.0263,48.6953
PF3D7_0209200,24.8363,16.471,18.6844,2.8397,16.469,15.6878,121.6637
PF3D7_0209300,4.187,7.1285,10.1298,2.439,11.4077,30.5692,17.4166
PF3D7_0209400,5.3235,5.2157,14.1713,4.779,4.5516,39.4768,13.4432
PF3D7_0209500,3.6518,0.3663,1.1949,1.746,0.5807,16.1881,141.2986
PF3D7_0209600,10.104,2.2861,51.3258,76.1799,3.7853,5.6182,9.8791
PF3D7_0209700,98.334,89.3707,62.8148,68.6997,27.5087,49.7461,86.0627
PF3D7_0209800,387.4669,494.6743,527.7635,198.9353,55.9457,51.6431,290.2133
PF3D7_0209900,12.0075,8.8264,4.1221,0,42.8456,92.2607,0
PF3D7_0210000,190.5295,303.9488,560.9828,193.5511,417.0833,3102.3706,221.8138
PF3D7_0210100.1,1026.3041,1844.674,1067.8018,632.262,2904.9601,1096.618,485.6099
PF3D7_0210100.2,1184.0323,2121.7687,1435.5185,391.8812,3485.4545,1564.4517,751.3865
PF3D7_0210200,4.126,8.1465,42.3585,20.0557,15.4471,35.682,23.7782
