[Gene ID]	[Genomic Sequence ID]	[UniProt ID]	[Entrez Gene ID]	[Gene Name or Symbol]	[Previous ID(s)]	
PF3D7_0108800	Pf3D7_01_v3	null	null	null	MAL1P2.16, PFA0435w	
PF3D7_0108900	Pf3D7_01_v3	null	null	null	PF01TR005, PF01TR005:ncRNA	
PF3D7_0109000	Pf3D7_01_v3	null	null	null	MAL1P2.17, PFA0440w	
PF3D7_0109100	Pf3D7_01_v3	null	null	CCp5	MAL1P2.18, PFA0445w	
PF3D7_0109200	Pf3D7_01_v3	null	null	null	MAL1P2.19, PFA0450c	
PF3D7_0109300	Pf3D7_01_v3	null	null	null	MAL1P2.20, PFA0455c	
PF3D7_0109400	Pf3D7_01_v3	null	null	null	MAL1P2.21, PFA0460c	
PF3D7_0109500	Pf3D7_01_v3	null	null	null	MAL1P2.22, PFA0465c	
PF3D7_0109600	Pf3D7_01_v3	null	null	null	MAL1P2.23, PFA0470c	
PF3D7_0109700	Pf3D7_01_v3	null	null	null	MAL1P2.24, PFA0475c	
PF3D7_0109800	Pf3D7_01_v3	null	null	null	MAL1P2.25, PFA0480w	
PF3D7_0109900.1	Pf3D7_01_v3	null	null	null	MAL1P2.26, PFA0485w	
PF3D7_0109900.2	Pf3D7_01_v3	null	null	null	MAL1P2.26, PFA0485w	
PF3D7_0110000	Pf3D7_01_v3	null	null	null	MAL1P2.27, PFA0490w	
PF3D7_0110100	Pf3D7_01_v3	null	null	null	MAL1P2.28, PFA0495c	
PF3D7_0110200	Pf3D7_01_v3	null	null	ERV1	MAL1P2.29, PFA0500w	
PF3D7_0110300	Pf3D7_01_v3	null	null	null	PFA0504c, PFA0504c.1	
PF3D7_0110400	Pf3D7_01_v3	null	null	null	MAL1P2.30, PFA0505c	
PF3D7_0110500	Pf3D7_01_v3	null	null	null	MAL1P2.31, PFA0510w	
PF3D7_0110600	Pf3D7_01_v3	null	null	PIP5K	MAL1P2.32, PFA0515w	
PF3D7_0110700	Pf3D7_01_v3	null	null	null	MAL1P2.33, PFA0520c	
PF3D7_0110800	Pf3D7_01_v3	null	null	null	MAL1P2.34, PFA0525w	
PF3D7_0110900	Pf3D7_01_v3	null	null	AKLP1	MAL1P2.35, PFA0530c	
PF3D7_0111000	Pf3D7_01_v3	null	null	null	MAL1P2.36, PFA0535c	
PF3D7_0111200	Pf3D7_01_v3	null	null	null	MAL1P2.37, PFA0540c	
PF3D7_0111300	Pf3D7_01_v3	null	null	null	MAL1P2.38, PFA0545c	
PF3D7_0111400	Pf3D7_01_v3	null	null	GEXP19	MAL1P2.39, PFA0550w	
PF3D7_0111500	Pf3D7_01_v3	null	null	null	MAL1P2.40, PFA0555c	
PF3D7_0111600	Pf3D7_01_v3	null	null	null	MAL1P2.41, PFA0560c	
PF3D7_0111700	Pf3D7_01_v3	null	null	null	MAL1P2.42, PFA0565c	
PF3D7_0111800	Pf3D7_01_v3	null	null	null	MAL1P2.43, PFA0570w	
PF3D7_0111900	Pf3D7_01_v3	null	null	null	MAL1P3.01b, PFA0575c	
PF3D7_0112000	Pf3D7_01_v3	null	null	null	MAL1P3.01, PFA0580c	
PF3D7_0112100	Pf3D7_01_v3	null	null	null	MAL1P3.02, PFA0585w	
PF3D7_0112200	Pf3D7_01_v3	null	null	MRP1	MAL1P3.03, PFA0590w	
PF3D7_0112300	Pf3D7_01_v3	null	null	null	MAL1_18s, MAL1_18s:rRNA	
PF3D7_0112400	Pf3D7_01_v3	null	null	null	MAL1_ITS1, MAL1_ITS1:rRNA	
PF3D7_0112500	Pf3D7_01_v3	null	null	null	MAL1_5.8s, MAL1_5.8s:rRNA	
PF3D7_0112600	Pf3D7_01_v3	null	null	null	MAL1_ITS2, MAL1_ITS2:rRNA	
PF3D7_0112700	Pf3D7_01_v3	null	null	null	MAL1_28s, MAL1_28s:rRNA	
PF3D7_0112800	Pf3D7_01_v3	null	null	null	MAL1P3.04, PFA0610c	
PF3D7_0112900	Pf3D7_01_v3	null	null	null	MAL1P3.05, PFA0615w	
PF3D7_0113000	Pf3D7_01_v3	null	null	GARP	MAL1P3.06, PFA0620c	
PF3D7_0113100	Pf3D7_01_v3	null	null	SURF1.1	MAL1P3.07, PFA0625w	
PF3D7_0113200	Pf3D7_01_v3	null	null	null	MAL1P3.08, PFA0630c	
PF3D7_0113300	Pf3D7_01_v3	null	null	null	MAL1P3.09, PFA0635c	
PF3D7_0113400	Pf3D7_01_v3	null	null	null	MAL1P3.10, PFA0640c	
PF3D7_0113600	Pf3D7_01_v3	null	null	SURF1.2	3D7surf1.2, MAL1P12a, MAL1P3.12, MAL1P3.12a, PFA0650w, PFA0655, PFA0655w	
PF3D7_0113700	Pf3D7_01_v3	null	null	HSP40	MAL1P4.10, PFA0660w	
PF3D7_0113800	Pf3D7_01_v3	null	null	null	MAL1P4.11, PFA0665w	
PF3D7_0113900	Pf3D7_01_v3	null	null	GEXP10	MAL1P4.12, PFA0670c	
PF3D7_0114000	Pf3D7_01_v3	null	null	EPF1	MAL1P4.13, PFA0675w	
PF3D7_0114100	Pf3D7_01_v3	null	null	MC-2TM	MAL1P4.14, PFA0680c	
PF3D7_0114200	Pf3D7_01_v3	null	null	EPF3	MAL1P4.15, PFA0685c	
PF3D7_0114300	Pf3D7_01_v3	null	null	EPF4	MAL1P4.16, PFA0690w	
PF3D7_0114400	Pf3D7_01_v3	null	null	VAR	MAL1P4.16c, PFA0695c	
PF3D7_0114500	Pf3D7_01_v3	null	null	null	MAL1P4.16d, PFA0700c	
PF3D7_0114600	Pf3D7_01_v3	null	null	null	MAL1P4.16e, PFA0705c	
PF3D7_0114700	Pf3D7_01_v3	null	null	RIF	MAL1P4.17, PFA0710c	
PF3D7_0114800	Pf3D7_01_v3	null	null	null	MAL1P4.19, PFA0715c	
PF3D7_0114900	Pf3D7_01_v3	null	null	null	MAL1P4.20, PFA0720w	
PF3D7_0115000	Pf3D7_01_v3	null	null	SURF1.3	3D7surf1.3, MAL1P4.21, PFA0725w	
PF3D7_0115100	Pf3D7_01_v3	null	null	null	MAL1P4.22, PFA0735w	
PF3D7_0115200	Pf3D7_01_v3	null	null	RIF	MAL1P4.23, PFA0740w	
PF3D7_0115300	Pf3D7_01_v3	null	null	RIF	MAL1P4.25, PFA0745w	
PF3D7_0115400	Pf3D7_01_v3	null	null	null	MAL1P4.26, PFA0750w	
PF3D7_0115500	Pf3D7_01_v3	null	null	null	PFA0755w	
PF3D7_0115600	Pf3D7_01_v3	null	null	RIF	MAL1P4.28, PFA0760w	
PF3D7_0115700	Pf3D7_01_v3	null	null	VAR	MAL1P4.29, PFA0765c	
PF3D7_0200100	Pf3D7_02_v3	O96108	812597	VAR	PF02_0001, PFB0010w	
PF3D7_0200200	Pf3D7_02_v3	O96109	812598	RIF	PF02_0002, PFB0015c	
PF3D7_0200300	Pf3D7_02_v3	O96110	812599	null	PF02_0003, PFB0020c	
PF3D7_0200400	Pf3D7_02_v3	O96111	812600	null	PF02_0004, PFB0025c	
PF3D7_0200500	Pf3D7_02_v3	O96112	812601	RIF	PF02_0005, PFB0030c	
PF3D7_0200600	Pf3D7_02_v3	O96113	812602	RIF	PF02_0006, PFB0035c	
PF3D7_0200700	Pf3D7_02_v3	O96114	812603	RIF	PF02_0007, PFB0040c	
PF3D7_0200800	Pf3D7_02_v3	O96115	812604	null	PF02_0008, PFB0045c	
PF3D7_0200900	Pf3D7_02_v3	null	812605	null	PF02_0009, PFB0050c	
PF3D7_0201000	Pf3D7_02_v3	O96116	812606	RIF	PF02_0010, PFB0055c	
PF3D7_0201100	Pf3D7_02_v3	Q8I670	812607	null	PF02_0011, PFB0056c	
PF3D7_0201200	Pf3D7_02_v3	O96117	812608	RIF	PF02_0012, PFB0060w	
